loc_type,ev_type,region,n_killed_a,know_ini,weapon,sc_animosity,anti_gov_sentmnts,pol_desires,n_injurd,duration
27,1,5,0,1,1,FALSE,FALSE,FALSE,0,1
27,1,5,0,1,1,FALSE,FALSE,TRUE,0,0
2,1,5,0,1,1,FALSE,FALSE,FALSE,0,1
2,1,5,0,1,1,FALSE,FALSE,FALSE,0,0
2,1,5,0,1,1,FALSE,TRUE,TRUE,0,1
16,1,5,0,0,1,TRUE,FALSE,FALSE,0,0
16,1,5,0,0,1,TRUE,FALSE,FALSE,0,0
14,1,5,0,1,1,FALSE,FALSE,FALSE,0,1
23,1,5,0,1,1,FALSE,TRUE,TRUE,0,0
2,1,5,0,1,1,FALSE,FALSE,FALSE,0,0
4,1,5,0,1,1,FALSE,TRUE,FALSE,0,0
27,1,5,0,1,1,FALSE,FALSE,FALSE,0,1
2,1,5,0,1,1,FALSE,FALSE,FALSE,0,0
2,1,5,0,1,1,FALSE,TRUE,FALSE,0,1
21,2,5,0,0,18,FALSE,TRUE,FALSE,0,0
27,1,5,0,1,1,FALSE,FALSE,FALSE,0,0
18,1,5,0,1,1,TRUE,FALSE,TRUE,0,1
18,2,5,0,1,12,TRUE,FALSE,TRUE,0,1
2,4,5,0,1,1,FALSE,FALSE,FALSE,0,0
2,1,5,0,1,1,FALSE,FALSE,FALSE,0,1
2,2,5,0,1,26,TRUE,TRUE,TRUE,0,1
27,2,5,0,1,1,FALSE,FALSE,FALSE,0,1
27,2,5,0,1,26,FALSE,TRUE,TRUE,0,0
2,4,5,0,1,1,FALSE,FALSE,FALSE,0,1
2,4,5,0,1,1,FALSE,FALSE,FALSE,0,1
2,4,5,0,1,1,FALSE,FALSE,FALSE,0,1
2,4,5,0,1,1,FALSE,FALSE,FALSE,0,1
2,2,5,1,1,26,FALSE,TRUE,TRUE,0,0
2,4,5,0,1,1,FALSE,FALSE,FALSE,0,0
2,2,5,1,1,26,FALSE,TRUE,TRUE,0,1
21,2,5,0,1,7,FALSE,TRUE,FALSE,0,0
15,4,5,0,1,1,FALSE,FALSE,FALSE,0,1
2,1,5,0,1,1,FALSE,FALSE,FALSE,0,0
14,1,5,0,1,1,FALSE,FALSE,FALSE,0,1
27,1,5,0,1,1,FALSE,FALSE,FALSE,0,1
2,1,5,0,1,1,FALSE,FALSE,FALSE,0,1
27,1,5,0,1,1,FALSE,TRUE,FALSE,0,0
27,4,5,0,1,1,FALSE,FALSE,FALSE,0,1
2,1,5,0,1,1,FALSE,TRUE,FALSE,0,0
2,1,5,0,1,1,FALSE,FALSE,FALSE,0,0
21,1,5,0,1,1,FALSE,TRUE,FALSE,0,0
21,1,5,0,1,1,FALSE,TRUE,FALSE,0,0
21,1,5,0,1,1,FALSE,TRUE,FALSE,0,0
17,1,5,0,1,1,FALSE,TRUE,TRUE,0,1
27,1,5,0,1,1,FALSE,FALSE,FALSE,0,0
18,1,5,0,1,1,FALSE,TRUE,FALSE,0,0
27,1,5,0,1,1,FALSE,TRUE,FALSE,0,0
13,4,5,0,1,1,FALSE,FALSE,FALSE,0,0
13,1,5,0,1,1,FALSE,FALSE,FALSE,0,0
13,1,5,0,1,1,FALSE,TRUE,FALSE,0,1
2,1,5,0,0,1,FALSE,TRUE,FALSE,0,0
27,2,5,0,0,26,FALSE,TRUE,FALSE,0,0
2,4,5,0,1,1,FALSE,FALSE,FALSE,0,0
2,1,5,0,0,1,TRUE,FALSE,FALSE,0,1
2,1,5,0,0,1,TRUE,FALSE,FALSE,0,1
21,2,5,3,1,14,TRUE,TRUE,FALSE,13,0
15,1,5,0,1,1,TRUE,TRUE,FALSE,0,0
27,1,5,0,0,1,FALSE,FALSE,FALSE,0,0
27,NA,5,248,0,1,FALSE,FALSE,FALSE,0,1
2,1,5,0,1,1,FALSE,FALSE,FALSE,0,0
2,4,5,0,1,1,FALSE,FALSE,FALSE,2,0
21,4,5,1,1,14,TRUE,FALSE,FALSE,0,1
21,1,5,0,1,1,TRUE,TRUE,TRUE,0,1
6,1,5,0,1,1,TRUE,TRUE,FALSE,0,0
27,2,5,0,2,1,TRUE,TRUE,TRUE,0,1
28,4,5,0,1,1,TRUE,FALSE,FALSE,0,1
9,2,5,0,0,26,FALSE,FALSE,FALSE,0,1
21,4,5,0,1,1,FALSE,FALSE,FALSE,0,0
2,2,5,0,2,1,FALSE,FALSE,FALSE,0,0
2,1,5,0,1,1,FALSE,FALSE,FALSE,0,0
27,1,5,0,1,1,TRUE,FALSE,FALSE,0,1
27,1,5,0,1,1,TRUE,FALSE,TRUE,0,1
2,4,5,0,1,1,FALSE,FALSE,FALSE,0,1
2,4,5,0,1,1,FALSE,FALSE,FALSE,0,1
18,1,5,0,0,1,TRUE,FALSE,FALSE,0,0
2,1,5,0,1,1,FALSE,TRUE,FALSE,0,1
2,1,5,0,1,1,FALSE,TRUE,FALSE,0,0
27,4,5,0,1,1,FALSE,TRUE,FALSE,0,1
27,1,5,0,1,1,FALSE,FALSE,TRUE,0,0
2,1,4,0,1,1,FALSE,FALSE,FALSE,0,1
1,1,4,0,1,1,TRUE,FALSE,FALSE,0,0
2,1,4,0,1,1,FALSE,FALSE,FALSE,0,0
18,1,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,1,4,0,0,1,TRUE,FALSE,FALSE,0,1
2,1,4,0,0,1,TRUE,FALSE,FALSE,0,1
25,4,4,4,1,23,FALSE,FALSE,FALSE,0,0
15,2,4,0,0,18,FALSE,FALSE,FALSE,0,1
2,5,4,0,1,18,FALSE,TRUE,TRUE,0,1
2,4,4,7,1,26,FALSE,FALSE,FALSE,11,1
18,1,4,0,1,1,FALSE,TRUE,FALSE,0,0
2,2,4,1,1,26,FALSE,TRUE,FALSE,0,0
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,1,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,2,4,0,0,1,FALSE,TRUE,FALSE,0,1
28,NA,4,0,1,1,FALSE,FALSE,FALSE,0,0
22,2,4,0,1,1,FALSE,TRUE,FALSE,0,1
27,2,4,0,1,1,FALSE,TRUE,FALSE,0,1
22,2,4,0,1,14,FALSE,FALSE,TRUE,0,1
22,2,4,100,1,26,FALSE,TRUE,FALSE,0,0
27,5,4,0,1,1,FALSE,TRUE,TRUE,0,1
27,4,4,53,1,1,FALSE,FALSE,FALSE,0,0
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
21,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
18,4,4,0,1,26,FALSE,FALSE,FALSE,5,0
2,1,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,1,4,0,1,1,FALSE,TRUE,FALSE,0,0
22,2,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,2,4,0,1,1,FALSE,TRUE,FALSE,0,1
27,2,4,0,1,1,TRUE,FALSE,FALSE,0,1
2,2,4,0,1,18,FALSE,FALSE,FALSE,0,0
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,2,4,1,1,1,FALSE,FALSE,FALSE,0,1
0,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,16,1,1,FALSE,FALSE,FALSE,0,0
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,2,4,0,1,1,FALSE,TRUE,FALSE,0,1
21,2,4,0,5,1,FALSE,FALSE,FALSE,0,1
27,2,4,0,1,26,FALSE,TRUE,TRUE,0,1
21,1,4,0,1,1,FALSE,TRUE,FALSE,0,0
27,4,4,1,1,1,FALSE,FALSE,TRUE,0,1
27,4,4,0,1,1,FALSE,FALSE,TRUE,0,1
27,4,4,0,1,1,FALSE,FALSE,TRUE,0,1
1,2,4,10,2,1,FALSE,TRUE,TRUE,0,0
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,4,4,65,1,1,FALSE,FALSE,FALSE,23,0
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,2,4,0,1,1,FALSE,TRUE,FALSE,0,0
0,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
21,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,0,0,1,FALSE,FALSE,FALSE,0,0
27,4,4,7,1,1,FALSE,FALSE,FALSE,0,0
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
0,1,4,0,1,1,FALSE,TRUE,FALSE,0,0
0,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
13,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,2,4,1,1,1,FALSE,TRUE,FALSE,1,0
22,2,4,0,1,1,FALSE,TRUE,FALSE,0,1
2,2,4,0,1,1,TRUE,FALSE,FALSE,0,0
22,2,4,0,1,1,FALSE,TRUE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,2,4,0,1,1,TRUE,FALSE,TRUE,0,1
4,2,4,0,1,1,FALSE,FALSE,FALSE,0,0
27,2,4,0,1,1,FALSE,TRUE,FALSE,0,0
27,2,4,0,1,26,TRUE,FALSE,FALSE,0,0
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,2,4,0,1,1,FALSE,FALSE,FALSE,0,0
27,2,4,1,1,14,FALSE,FALSE,FALSE,0,0
4,2,4,0,1,1,FALSE,FALSE,FALSE,2,0
22,2,4,0,1,1,FALSE,TRUE,FALSE,0,1
0,4,4,195,1,14,FALSE,FALSE,FALSE,0,0
27,2,4,0,1,1,FALSE,FALSE,TRUE,0,1
2,2,4,3,1,1,FALSE,TRUE,FALSE,0,1
2,4,4,0,1,1,FALSE,FALSE,TRUE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
22,1,4,0,1,1,FALSE,TRUE,FALSE,0,0
22,1,4,0,1,1,FALSE,TRUE,FALSE,0,0
2,1,4,0,1,1,TRUE,TRUE,FALSE,0,1
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,2,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,0,5,1,FALSE,FALSE,FALSE,0,1
21,4,4,1,1,14,TRUE,FALSE,FALSE,0,1
2,1,4,0,1,1,TRUE,TRUE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,2,4,0,1,27,FALSE,FALSE,FALSE,0,1
27,2,4,24,0,26,FALSE,FALSE,FALSE,0,1
2,4,4,0,1,14,FALSE,FALSE,FALSE,0,1
2,2,4,0,1,1,FALSE,TRUE,TRUE,0,1
2,2,4,0,0,1,FALSE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
8,4,4,0,1,26,FALSE,TRUE,FALSE,0,1
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,1,4,0,1,1,FALSE,TRUE,FALSE,0,0
25,NA,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
9,2,4,3,1,1,FALSE,FALSE,FALSE,0,0
19,2,4,20,5,1,FALSE,TRUE,FALSE,0,1
25,2,4,0,5,1,FALSE,TRUE,FALSE,0,1
21,4,4,0,1,1,TRUE,FALSE,FALSE,0,0
21,4,4,0,1,1,TRUE,FALSE,FALSE,0,0
21,4,4,0,1,1,TRUE,FALSE,FALSE,0,0
2,4,4,0,1,1,TRUE,FALSE,FALSE,0,1
25,4,4,0,1,1,TRUE,FALSE,FALSE,0,1
24,2,4,0,1,1,TRUE,FALSE,FALSE,0,1
2,2,4,0,1,1,FALSE,TRUE,FALSE,0,1
24,2,4,0,1,26,FALSE,FALSE,FALSE,0,1
24,2,4,0,1,26,FALSE,FALSE,FALSE,0,1
2,2,4,0,1,3,FALSE,FALSE,FALSE,80,0
2,4,4,0,1,1,FALSE,FALSE,TRUE,0,0
2,2,4,0,1,1,FALSE,TRUE,FALSE,0,1
2,2,4,0,1,1,FALSE,TRUE,FALSE,0,1
8,NA,4,0,1,1,TRUE,FALSE,FALSE,0,1
25,NA,4,0,1,1,TRUE,FALSE,FALSE,0,1
21,1,4,0,1,1,FALSE,TRUE,FALSE,0,1
24,2,4,0,0,1,FALSE,FALSE,FALSE,0,1
27,4,4,0,1,1,TRUE,FALSE,FALSE,0,1
2,4,4,0,1,26,FALSE,FALSE,FALSE,0,1
2,1,4,0,1,1,FALSE,TRUE,TRUE,0,1
21,1,4,0,1,1,FALSE,TRUE,TRUE,0,1
21,1,4,0,1,1,FALSE,TRUE,TRUE,0,1
27,NA,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,1,4,0,1,1,TRUE,TRUE,FALSE,0,1
2,1,4,0,1,1,FALSE,TRUE,FALSE,0,1
27,NA,4,0,1,1,TRUE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,TRUE,0,0
27,4,4,1,1,1,FALSE,FALSE,FALSE,0,1
2,2,4,0,1,1,FALSE,FALSE,FALSE,0,0
21,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
27,1,4,0,1,1,FALSE,TRUE,FALSE,0,1
27,1,4,0,1,1,FALSE,TRUE,FALSE,0,1
22,1,4,0,1,1,FALSE,TRUE,FALSE,0,0
24,4,4,3,1,23,TRUE,FALSE,FALSE,0,1
24,4,4,4,1,23,TRUE,FALSE,FALSE,0,1
24,2,4,0,1,23,FALSE,FALSE,FALSE,0,1
24,4,4,2,1,1,TRUE,FALSE,FALSE,0,1
24,4,4,6,1,23,FALSE,FALSE,FALSE,0,1
24,4,4,4,1,23,FALSE,FALSE,FALSE,0,1
24,2,4,4,1,23,FALSE,FALSE,FALSE,0,1
21,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
21,1,4,0,1,1,FALSE,TRUE,TRUE,0,1
2,5,4,0,1,1,FALSE,TRUE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
19,2,4,0,5,18,FALSE,FALSE,FALSE,0,1
27,1,4,0,1,1,FALSE,TRUE,TRUE,0,1
9,1,4,0,1,1,FALSE,TRUE,TRUE,0,0
2,2,4,0,1,26,FALSE,TRUE,FALSE,0,1
2,4,4,0,1,1,TRUE,FALSE,FALSE,0,1
2,4,4,0,1,1,TRUE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,1,4,0,1,1,FALSE,TRUE,FALSE,0,0
22,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
21,1,4,0,5,1,FALSE,FALSE,FALSE,0,0
21,1,4,0,1,1,FALSE,FALSE,FALSE,0,1
21,1,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,5,4,0,1,1,FALSE,TRUE,FALSE,0,0
27,5,4,0,1,1,FALSE,TRUE,FALSE,0,1
2,1,4,0,1,1,FALSE,TRUE,FALSE,0,0
NA,NA,4,320,NA,1,FALSE,FALSE,FALSE,0,0
21,5,4,0,NA,1,FALSE,TRUE,FALSE,0,1
21,2,4,0,1,18,FALSE,TRUE,FALSE,0,1
2,5,4,0,1,1,FALSE,TRUE,FALSE,0,1
2,2,4,0,1,1,FALSE,TRUE,TRUE,0,0
2,2,4,0,0,26,FALSE,TRUE,FALSE,0,1
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,2,4,0,1,7,FALSE,TRUE,FALSE,0,0
0,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
10,2,4,0,1,18,FALSE,TRUE,FALSE,0,1
2,2,4,0,1,1,TRUE,TRUE,FALSE,0,1
2,2,4,0,1,26,TRUE,TRUE,FALSE,0,0
0,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,5,4,0,NA,1,FALSE,TRUE,FALSE,0,1
27,4,4,1,1,1,FALSE,FALSE,FALSE,0,1
2,2,4,3,1,14,FALSE,TRUE,FALSE,0,1
2,2,4,0,1,1,FALSE,TRUE,FALSE,0,0
2,2,4,0,1,26,FALSE,TRUE,TRUE,0,1
NA,NA,4,2500,NA,1,FALSE,FALSE,FALSE,0,0
2,4,4,80,1,1,FALSE,FALSE,FALSE,0,1
2,4,4,1,1,1,FALSE,FALSE,FALSE,0,1
0,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,4,4,250,1,26,FALSE,FALSE,FALSE,0,1
2,2,4,0,1,14,FALSE,TRUE,FALSE,1,0
2,4,4,2,1,1,FALSE,FALSE,FALSE,0,1
28,4,4,1,1,14,FALSE,FALSE,FALSE,0,1
19,2,4,1,1,14,FALSE,FALSE,FALSE,2,1
2,2,4,0,0,14,FALSE,FALSE,FALSE,0,0
2,2,4,0,1,23,FALSE,FALSE,TRUE,0,1
25,4,4,0,1,24,FALSE,TRUE,FALSE,0,0
27,1,4,0,1,1,TRUE,FALSE,FALSE,0,1
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,1,4,0,1,1,FALSE,TRUE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,TRUE,0,1
21,1,4,0,1,1,TRUE,TRUE,TRUE,0,0
2,1,4,0,1,1,TRUE,TRUE,FALSE,0,1
27,1,4,0,1,1,TRUE,TRUE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,1,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,2,1,14,FALSE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,1,4,0,1,1,FALSE,TRUE,TRUE,0,0
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,1,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
27,4,4,2,1,14,FALSE,FALSE,FALSE,0,1
2,4,4,0,1,1,TRUE,FALSE,FALSE,0,1
21,2,4,0,1,12,FALSE,TRUE,FALSE,0,0
2,4,4,65,1,1,FALSE,FALSE,FALSE,0,0
2,2,4,0,0,26,FALSE,TRUE,FALSE,100,0
19,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,1,4,0,1,1,FALSE,TRUE,FALSE,0,0
2,1,4,0,1,1,FALSE,TRUE,FALSE,0,0
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,1,4,2,1,1,FALSE,TRUE,FALSE,0,0
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,4,4,50,1,1,FALSE,FALSE,FALSE,300,0
2,2,4,80,1,1,FALSE,TRUE,FALSE,0,1
2,4,4,21,1,26,FALSE,FALSE,FALSE,100,0
2,1,4,0,1,1,FALSE,TRUE,FALSE,0,0
0,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,1,4,0,1,1,FALSE,TRUE,FALSE,0,1
2,4,4,36,1,14,FALSE,FALSE,FALSE,0,1
2,2,4,1,1,9,FALSE,FALSE,FALSE,0,0
16,2,4,1,0,9,FALSE,FALSE,FALSE,0,1
21,2,4,0,1,1,FALSE,TRUE,FALSE,0,0
27,4,4,0,0,1,FALSE,FALSE,FALSE,0,1
28,2,4,40,0,26,FALSE,FALSE,FALSE,0,1
27,2,4,1,5,1,TRUE,FALSE,FALSE,0,0
2,2,4,34,1,1,FALSE,FALSE,FALSE,0,1
9,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,4,4,34,1,14,FALSE,FALSE,FALSE,0,0
10,1,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,4,4,0,1,1,TRUE,FALSE,FALSE,0,0
16,4,4,5,1,14,FALSE,FALSE,FALSE,0,1
27,5,4,0,1,1,FALSE,TRUE,FALSE,0,1
2,2,4,1,1,3,FALSE,FALSE,FALSE,0,1
27,NA,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,NA,4,0,NA,1,FALSE,FALSE,FALSE,0,1
2,4,4,1,1,1,FALSE,FALSE,FALSE,0,1
2,NA,4,0,1,1,TRUE,FALSE,FALSE,0,1
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,1,1,14,FALSE,FALSE,FALSE,0,0
NA,NA,4,665,NA,1,FALSE,FALSE,FALSE,0,1
27,2,4,3,1,26,FALSE,TRUE,FALSE,0,0
16,2,4,1,1,26,TRUE,FALSE,FALSE,0,0
27,5,4,0,1,1,FALSE,TRUE,FALSE,0,1
9,2,4,0,1,14,FALSE,FALSE,TRUE,0,0
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
21,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
2,2,4,25,1,26,FALSE,FALSE,FALSE,0,1
27,4,4,0,1,1,FALSE,TRUE,TRUE,0,1
27,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
0,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,1,1,26,FALSE,FALSE,FALSE,0,0
1,2,4,1,1,26,FALSE,FALSE,TRUE,0,0
1,2,4,1,1,26,FALSE,FALSE,TRUE,0,0
2,2,4,6,1,27,FALSE,FALSE,FALSE,0,0
2,2,4,1,1,27,FALSE,FALSE,FALSE,12,0
2,2,4,24,1,27,FALSE,FALSE,FALSE,15,0
2,1,4,0,1,1,FALSE,TRUE,FALSE,0,0
2,2,4,1,5,1,FALSE,FALSE,FALSE,0,0
27,1,4,0,1,1,FALSE,TRUE,FALSE,0,1
2,4,4,25,1,1,FALSE,FALSE,FALSE,0,1
21,4,4,0,1,1,FALSE,FALSE,FALSE,0,1
27,NA,4,0,1,1,FALSE,FALSE,FALSE,0,1
2,4,4,2,1,1,FALSE,FALSE,FALSE,0,1
27,4,4,1,1,1,FALSE,FALSE,FALSE,0,1
2,4,4,0,1,1,FALSE,FALSE,FALSE,0,0
