"month","week","loc_type","region","weapon","n_killed_a","know_ini","ev_type","sc_animosity","anti_gov_sentmnts","duration"
"10","3","2",NA,"26",1,"1","2",TRUE,TRUE,"1"
"11","3","9",NA,"1",0,"1","4",FALSE,FALSE,"0"
"7","3","27",NA,"1",0,"1","1",FALSE,FALSE,"1"
"10","3","18",NA,"1",0,"1","1",FALSE,TRUE,"0"
"10","3","18",NA,"1",0,"1","2",FALSE,FALSE,"0"
"10","3","18",NA,"1",0,"1","2",FALSE,TRUE,"0"
"10","2","16",NA,"1",0,"1","1",TRUE,FALSE,"0"
"11","3","27",NA,"1",0,"1","1",TRUE,FALSE,"1"
"4","2","2",NA,"1",0,"1","2",FALSE,FALSE,"1"
"7","3","28",NA,"14",2,"1","4",FALSE,FALSE,"1"
"12","3","4",NA,"26",2,"1","2",FALSE,TRUE,"1"
"7","3","2",NA,"18",2,"1","2",FALSE,TRUE,"1"
"7","1","13",NA,"1",0,"1","1",FALSE,TRUE,"0"
"10","2","2",NA,"1",0,"1","4",FALSE,FALSE,"1"
"3","2","2","5","1",0,"1","1",FALSE,FALSE,"0"
"5","4","27","5","1",0,"1","4",FALSE,FALSE,"0"
"7","4","2","5","1",0,"1","1",FALSE,FALSE,"1"
"8","3","0","5","1",0,"1","1",FALSE,FALSE,"1"
"6","3","23","5","1",0,"1","4",FALSE,FALSE,"0"
"6","1","27","5","1",0,"0",NA,FALSE,FALSE,"0"
"6","1","2","5","1",0,"1","1",FALSE,FALSE,"0"
"7","2","27","5","1",0,"1","1",FALSE,FALSE,"0"
"8","3","27","5","1",0,"1","1",FALSE,FALSE,"1"
"6","3","27","5","1",0,"1","1",FALSE,FALSE,"0"
"8","2","2","5","1",0,"1","1",FALSE,FALSE,"1"
"1","2","2","5","1",0,"1","1",FALSE,FALSE,"0"
"7","3","2","5","1",0,"1","1",FALSE,TRUE,"1"
"5","2","16","5","1",0,"0","1",TRUE,FALSE,"0"
"5","2","16","5","1",0,"0","1",TRUE,FALSE,"0"
"6","2","14","5","1",0,"1","1",FALSE,FALSE,"1"
"3","2","23","5","1",0,"1","1",FALSE,TRUE,"0"
"7","3","2","5","1",0,"1","1",FALSE,FALSE,"0"
"7","4","4","5","1",0,"1","1",FALSE,TRUE,"0"
"7","2","27","5","1",0,"1","1",FALSE,FALSE,"1"
"9","3","2","5","1",0,"1","1",FALSE,FALSE,"0"
"6","2","2","5","1",0,"1","1",FALSE,TRUE,"1"
"7","3","21","5","18",0,"0","2",FALSE,TRUE,"0"
"7","4","27","5","1",0,"1","1",FALSE,FALSE,"0"
"7","3","18","5","1",0,"1","1",TRUE,FALSE,"1"
"7","3","18","5","12",0,"1","2",TRUE,FALSE,"1"
"9","2","2","5","1",0,"1","4",FALSE,FALSE,"0"
"9","2","2","5","1",0,"1","1",FALSE,FALSE,"1"
"9","3","2","5","26",0,"1","2",TRUE,TRUE,"1"
"10","3","27","5","1",0,"1","2",FALSE,FALSE,"1"
"10","2","27","5","26",0,"1","2",FALSE,TRUE,"0"
"10","3","2","5","1",0,"1","4",FALSE,FALSE,"1"
"10","3","2","5","1",0,"1","4",FALSE,FALSE,"1"
"10","3","2","5","1",0,"1","4",FALSE,FALSE,"1"
"10","3","2","5","1",0,"1","4",FALSE,FALSE,"1"
"10","2","2","5","26",1,"1","2",FALSE,TRUE,"0"
"10","3","2","5","1",0,"1","4",FALSE,FALSE,"0"
"10","2","2","5","26",1,"1","2",FALSE,TRUE,"1"
"4","3","21","5","7",0,"1","2",FALSE,TRUE,"0"
"7","3","15","5","1",0,"1","4",FALSE,FALSE,"1"
"8","4","2","5","1",0,"1","1",FALSE,FALSE,"0"
"8","3","14","5","1",0,"1","1",FALSE,FALSE,"1"
"8","3","27","5","1",0,"1","1",FALSE,FALSE,"1"
"9","2","2","5","1",0,"1","1",FALSE,FALSE,"1"
"10","3","27","5","1",0,"1","1",FALSE,TRUE,"0"
"11","3","27","5","1",0,"1","4",FALSE,FALSE,"1"
"9","2","2","5","1",0,"1","1",FALSE,TRUE,"0"
"4","2","2","5","1",0,"1","1",FALSE,FALSE,"0"
"8","2","21","5","1",0,"1","1",FALSE,TRUE,"0"
"8","2","21","5","1",0,"1","1",FALSE,TRUE,"0"
"8","2","21","5","1",0,"1","1",FALSE,TRUE,"0"
"10","3","17","5","1",0,"1","1",FALSE,TRUE,"1"
"10","5","27","5","1",0,"1","1",FALSE,FALSE,"0"
"1","4","18","5","1",0,"1","1",FALSE,TRUE,"0"
"8","2","27","5","1",0,"1","1",FALSE,TRUE,"0"
"8","2","13","5","1",0,"1","4",FALSE,FALSE,"0"
"8","2","13","5","1",0,"1","1",FALSE,FALSE,"0"
"8","3","13","5","1",0,"1","1",FALSE,TRUE,"1"
"8","2","2","5","1",0,"0","1",FALSE,TRUE,"0"
"8","4","27","5","26",0,"0","2",FALSE,TRUE,"0"
"1","4","2","5","1",0,"1","4",FALSE,FALSE,"0"
"2","4","2","5","1",0,"0","1",TRUE,FALSE,"1"
"2","4","2","5","1",0,"0","1",TRUE,FALSE,"1"
"5","3","21","5","14",3,"1","2",TRUE,TRUE,"0"
"5","3","15","5","1",0,"1","1",TRUE,TRUE,"0"
"9","2","27","5","1",0,"0","1",FALSE,FALSE,"0"
"12","3","27","5","1",248,"0",NA,FALSE,FALSE,"1"
"6","2","2","5","1",0,"1","1",FALSE,FALSE,"0"
"6","2","2","5","1",0,"1","4",FALSE,FALSE,"0"
"11","3","21","5","14",1,"1","4",TRUE,FALSE,"1"
"11","3","21","5","1",0,"1","1",TRUE,TRUE,"1"
"7","3","6","5","1",0,"1","1",TRUE,TRUE,"0"
"8","4","27","5","1",0,"2","2",TRUE,TRUE,"1"
"8","3","28","5","1",0,"1","4",TRUE,FALSE,"1"
"7","3","9","5","26",0,"0","2",FALSE,FALSE,"1"
"2","4","21","5","1",0,"1","4",FALSE,FALSE,"0"
"6","2","2","5","1",0,"2","2",FALSE,FALSE,"0"
"6","2","2","5","1",0,"1","1",FALSE,FALSE,"0"
"8","3","27","5","1",0,"1","1",TRUE,FALSE,"1"
"12","3","27","5","1",0,"1","1",TRUE,FALSE,"1"
"6","2","2","5","1",0,"1","4",FALSE,FALSE,"1"
"6","2","2","5","1",0,"1","4",FALSE,FALSE,"1"
"9","2","18","5","1",0,"0","1",TRUE,FALSE,"0"
"4","2","2","5","1",0,"1","1",FALSE,TRUE,"1"
"6","4","2","5","1",0,"1","1",FALSE,TRUE,"0"
"7","2","27","5","1",0,"1","4",FALSE,TRUE,"1"
"11","2","27","5","1",0,"1","1",FALSE,FALSE,"0"
"12","3","2","4","1",0,"1","1",FALSE,FALSE,"1"
"10","3","1","4","1",0,"1","1",TRUE,FALSE,"0"
"1","3","2","4","1",0,"1","1",FALSE,FALSE,"0"
"10","2","18","4","1",0,"1","1",FALSE,FALSE,"1"
"6","2","2","4","1",0,"0","1",TRUE,FALSE,"1"
"11","3","2","4","1",0,"0","1",TRUE,FALSE,"1"
"5","2","25","4","23",4,"1","4",FALSE,FALSE,"0"
"6","3","15","4","18",0,"0","2",FALSE,FALSE,"1"
"9","3","2","4","18",0,"1","5",FALSE,TRUE,"1"
"9","3","2","4","26",7,"1","4",FALSE,FALSE,"1"
"2","2","18","4","1",0,"1","1",FALSE,TRUE,"0"
"7","2","2","4","26",1,"1","2",FALSE,TRUE,"0"
"7","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"7","3","27","4","1",0,"1","1",FALSE,FALSE,"1"
"1","3","27","4","1",0,"0","2",FALSE,TRUE,"1"
"6","3","28","4","1",0,"1",NA,FALSE,FALSE,"0"
"7","3","22","4","1",0,"1","2",FALSE,TRUE,"1"
"7","3","27","4","1",0,"1","2",FALSE,TRUE,"1"
"7","3","22","4","14",0,"1","2",FALSE,FALSE,"1"
"7","5","22","4","26",100,"1","2",FALSE,TRUE,"0"
"7","3","27","4","1",0,"1","5",FALSE,TRUE,"1"
"8","2","27","4","1",53,"1","4",FALSE,FALSE,"0"
"9","1","27","4","1",0,"1","4",FALSE,FALSE,"1"
"9","2","27","4","1",0,"1","4",FALSE,FALSE,"1"
"9","2","27","4","1",0,"1","4",FALSE,FALSE,"1"
"10","3","21","4","1",0,"1","4",FALSE,FALSE,"1"
"11","1","2","4","1",0,"1","4",FALSE,FALSE,"1"
"5","1","18","4","26",0,"1","4",FALSE,FALSE,"0"
"12","3","2","4","1",0,"1","1",FALSE,FALSE,"1"
"1","3","2","4","1",0,"1","1",FALSE,TRUE,"0"
"4","3","22","4","1",0,"1","2",FALSE,FALSE,"1"
"5","1","27","4","1",0,"1","4",FALSE,FALSE,"1"
"7","3","2","4","1",0,"1","2",FALSE,TRUE,"1"
"10","1","27","4","1",0,"1","2",TRUE,FALSE,"1"
"12","3","2","4","18",0,"1","2",FALSE,FALSE,"0"
"1","4","2","4","1",0,"1","4",FALSE,FALSE,"0"
"2","3","2","4","1",0,"1","4",FALSE,FALSE,"0"
"4","3","2","4","1",1,"1","2",FALSE,FALSE,"1"
"6","4","0","4","1",0,"1","4",FALSE,FALSE,"1"
"6","3","27","4","1",16,"1","4",FALSE,FALSE,"0"
"6","3","27","4","1",0,"1","4",FALSE,FALSE,"0"
"7","2","2","4","1",0,"1","2",FALSE,TRUE,"1"
"7","3","21","4","1",0,"5","2",FALSE,FALSE,"1"
"7","3","27","4","26",0,"1","2",FALSE,TRUE,"1"
"7","4","21","4","1",0,"1","1",FALSE,TRUE,"0"
"8","3","27","4","1",1,"1","4",FALSE,FALSE,"1"
"8","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"8","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"8","3","1","4","1",10,"2","2",FALSE,TRUE,"0"
"8","1","2","4","1",0,"1","4",FALSE,FALSE,"1"
"9","1","2","4","1",65,"1","4",FALSE,FALSE,"0"
"2","2","27","4","1",0,"1","4",FALSE,FALSE,"1"
"3","2","2","4","1",0,"1","2",FALSE,TRUE,"0"
"3","2","0","4","1",0,"1","4",FALSE,FALSE,"1"
"3","4","21","4","1",0,"1","4",FALSE,FALSE,"0"
"3","1","2","4","1",0,"1","4",FALSE,FALSE,"1"
"4","2","27","4","1",0,"0","4",FALSE,FALSE,"0"
"4","2","27","4","1",7,"1","4",FALSE,FALSE,"0"
"4","2","27","4","1",0,"1","4",FALSE,FALSE,"0"
"4","1","0","4","1",0,"1","1",FALSE,TRUE,"0"
"4","2","0","4","1",0,"1","4",FALSE,FALSE,"1"
"4","1","13","4","1",0,"1","4",FALSE,FALSE,"0"
"4","1","2","4","1",1,"1","2",FALSE,TRUE,"0"
"6","3","22","4","1",0,"1","2",FALSE,TRUE,"1"
"6","4","2","4","1",0,"1","2",TRUE,FALSE,"0"
"7","3","22","4","1",0,"1","2",FALSE,TRUE,"1"
"7","1","27","4","1",0,"1","4",FALSE,FALSE,"1"
"7","1","27","4","1",0,"1","4",FALSE,FALSE,"1"
"7","1","2","4","1",0,"1","2",TRUE,FALSE,"1"
"9","4","4","4","1",0,"1","2",FALSE,FALSE,"0"
"9","3","27","4","1",0,"1","2",FALSE,TRUE,"0"
"10","4","27","4","26",0,"1","2",TRUE,FALSE,"0"
"10","4","27","4","1",0,"1","4",FALSE,FALSE,"0"
"10","4","2","4","1",0,"1","2",FALSE,FALSE,"0"
"11","3","27","4","14",1,"1","2",FALSE,FALSE,"0"
"11","3","4","4","1",0,"1","2",FALSE,FALSE,"0"
"11","3","22","4","1",0,"1","2",FALSE,TRUE,"1"
"1","2","0","4","14",195,"1","4",FALSE,FALSE,"0"
"6","1","27","4","1",0,"1","2",FALSE,FALSE,"1"
"7","3","2","4","1",3,"1","2",FALSE,TRUE,"1"
"7","3","2","4","1",0,"1","4",FALSE,FALSE,"1"
"11","4","27","4","1",0,"1","4",FALSE,FALSE,"1"
"3","1","22","4","1",0,"1","1",FALSE,TRUE,"0"
"3","1","22","4","1",0,"1","1",FALSE,TRUE,"0"
"4","2","2","4","1",0,"1","1",TRUE,TRUE,"1"
"7","2","2","4","1",0,"1","4",FALSE,FALSE,"1"
"4","3","27","4","1",0,"1","2",FALSE,FALSE,"1"
"7","3","27","4","1",0,"5","4",FALSE,FALSE,"1"
"7","3","21","4","14",1,"1","4",TRUE,FALSE,"1"
"7","3","2","4","1",0,"1","1",TRUE,TRUE,"1"
"7","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"7","3","27","4","27",0,"1","2",FALSE,FALSE,"1"
"7","3","27","4","26",24,"0","2",FALSE,FALSE,"1"
"7","3","2","4","14",0,"1","4",FALSE,FALSE,"1"
"7","3","2","4","1",0,"1","2",FALSE,TRUE,"1"
"7","3","2","4","1",0,"0","2",FALSE,FALSE,"1"
"7","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"7","3","8","4","26",0,"1","4",FALSE,TRUE,"1"
"5","3","2","4","1",0,"1","4",FALSE,FALSE,"1"
"6","3","2","4","1",0,"1","1",FALSE,TRUE,"0"
"6","1","25","4","1",0,"1",NA,FALSE,FALSE,"1"
"7","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"7","1","9","4","1",3,"1","2",FALSE,FALSE,"0"
"9","3","19","4","1",20,"5","2",FALSE,TRUE,"1"
"9","3","25","4","1",0,"5","2",FALSE,TRUE,"1"
"9","2","21","4","1",0,"1","4",TRUE,FALSE,"0"
"9","2","21","4","1",0,"1","4",TRUE,FALSE,"0"
"9","2","21","4","1",0,"1","4",TRUE,FALSE,"0"
"7","3","2","4","1",0,"1","4",TRUE,FALSE,"1"
"7","3","25","4","1",0,"1","4",TRUE,FALSE,"1"
"2","2","24","4","1",0,"1","2",TRUE,FALSE,"1"
"6","2","2","4","1",0,"1","2",FALSE,TRUE,"1"
"10","2","24","4","26",0,"1","2",FALSE,FALSE,"1"
"11","2","24","4","26",0,"1","2",FALSE,FALSE,"1"
"4","5","2","4","3",0,"1","2",FALSE,FALSE,"0"
"5","2","2","4","1",0,"1","4",FALSE,FALSE,"0"
"5","3","2","4","1",0,"1","2",FALSE,TRUE,"1"
"5","3","2","4","1",0,"1","2",FALSE,TRUE,"1"
"7","3","8","4","1",0,"1",NA,TRUE,FALSE,"1"
"7","3","25","4","1",0,"1",NA,TRUE,FALSE,"1"
"12","2","21","4","1",0,"1","1",FALSE,TRUE,"1"
"5","3","24","4","1",0,"0","2",FALSE,FALSE,"1"
"5","2","27","4","1",0,"1","4",TRUE,FALSE,"1"
"8","3","2","4","26",0,"1","4",FALSE,FALSE,"1"
"8","3","2","4","1",0,"1","1",FALSE,TRUE,"1"
"8","3","21","4","1",0,"1","1",FALSE,TRUE,"1"
"10","2","21","4","1",0,"1","1",FALSE,TRUE,"1"
"6","3","27","4","1",0,"1",NA,FALSE,FALSE,"1"
"8","2","2","4","1",0,"1","1",TRUE,TRUE,"1"
"8","2","2","4","1",0,"1","1",FALSE,TRUE,"1"
"9","3","27","4","1",0,"1",NA,TRUE,FALSE,"1"
"1","3","27","4","1",0,"1","4",FALSE,FALSE,"0"
"7","3","27","4","1",1,"1","4",FALSE,FALSE,"1"
"8","3","2","4","1",0,"1","2",FALSE,FALSE,"0"
"10","2","21","4","1",0,"1","4",FALSE,FALSE,"0"
"12","3","27","4","1",0,"1","1",FALSE,TRUE,"1"
"2","4","27","4","1",0,"1","1",FALSE,TRUE,"1"
"9","3","22","4","1",0,"1","1",FALSE,TRUE,"0"
"7","3","24","4","23",3,"1","4",TRUE,FALSE,"1"
"2","3","24","4","23",4,"1","4",TRUE,FALSE,"1"
"2","3","24","4","23",0,"1","2",FALSE,FALSE,"1"
"3","3","24","4","1",2,"1","4",TRUE,FALSE,"1"
"7","3","24","4","23",6,"1","4",FALSE,FALSE,"1"
"7","3","24","4","23",4,"1","4",FALSE,FALSE,"1"
"7","3","24","4","23",4,"1","2",FALSE,FALSE,"1"
"4","1","21","4","1",0,"1","4",FALSE,FALSE,"0"
"6","1","21","4","1",0,"1","1",FALSE,TRUE,"1"
"7","3","2","4","1",0,"1","5",FALSE,TRUE,"1"
"7","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"7","3","19","4","18",0,"5","2",FALSE,FALSE,"1"
"1","3","27","4","1",0,"1","1",FALSE,TRUE,"1"
"6","2","9","4","1",0,"1","1",FALSE,TRUE,"0"
"12","3","2","4","26",0,"1","2",FALSE,TRUE,"1"
"5","1","2","4","1",0,"1","4",TRUE,FALSE,"1"
"7","3","2","4","1",0,"1","4",TRUE,FALSE,"1"
"4","2","27","4","1",0,"1","4",FALSE,FALSE,"0"
"3","3","2","4","1",0,"1","4",FALSE,FALSE,"0"
"3","3","2","4","1",0,"1","1",FALSE,TRUE,"0"
"5","1","22","4","1",0,"1","4",FALSE,FALSE,"0"
"5","1","21","4","1",0,"5","1",FALSE,FALSE,"0"
"5","1","21","4","1",0,"1","1",FALSE,FALSE,"1"
"5","2","21","4","1",0,"1","1",FALSE,FALSE,"1"
"1","2","27","4","1",0,"1","5",FALSE,TRUE,"0"
"5","3","27","4","1",0,"1","5",FALSE,TRUE,"1"
"5","3","2","4","1",0,"1","1",FALSE,TRUE,"0"
"10","2",NA,"4","1",320,NA,NA,FALSE,FALSE,"0"
"12","3","21","4","1",0,NA,"5",FALSE,TRUE,"1"
"3","2","21","4","18",0,"1","2",FALSE,TRUE,"1"
"5","4","2","4","1",0,"1","5",FALSE,TRUE,"1"
"5","4","2","4","1",0,"1","2",FALSE,TRUE,"0"
"5","1","2","4","26",0,"0","2",FALSE,TRUE,"1"
"5","3","2","4","1",0,"1","4",FALSE,FALSE,"0"
"5","3","2","4","1",0,"1","4",FALSE,FALSE,"0"
"5","3","2","4","7",0,"1","2",FALSE,TRUE,"0"
"8","2","0","4","1",0,"1","4",FALSE,FALSE,"1"
"5","3","10","4","18",0,"1","2",FALSE,TRUE,"1"
"7","3","2","4","1",0,"1","2",TRUE,TRUE,"1"
"9","2","2","4","26",0,"1","2",TRUE,TRUE,"0"
"10","3","0","4","1",0,"1","4",FALSE,FALSE,"1"
"7","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"7","3","2","4","1",0,"1","4",FALSE,FALSE,"1"
"7","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"2","2","27","4","1",0,NA,"5",FALSE,TRUE,"1"
"2","2","27","4","1",1,"1","4",FALSE,FALSE,"1"
"4","3","2","4","14",3,"1","2",FALSE,TRUE,"1"
"8","1","2","4","1",0,"1","2",FALSE,TRUE,"0"
"8","3","2","4","26",0,"1","2",FALSE,TRUE,"1"
"10","1",NA,"4","1",2500,NA,NA,FALSE,FALSE,"0"
"3","1","2","4","1",80,"1","4",FALSE,FALSE,"1"
"3","1","2","4","1",1,"1","4",FALSE,FALSE,"1"
"5","2","0","4","1",0,"1","4",FALSE,FALSE,"1"
"7","4","2","4","26",250,"1","4",FALSE,FALSE,"1"
"8","3","2","4","14",0,"1","2",FALSE,TRUE,"0"
"11","3","2","4","1",2,"1","4",FALSE,FALSE,"1"
"1","3","28","4","14",1,"1","4",FALSE,FALSE,"1"
"2","3","19","4","14",1,"1","2",FALSE,FALSE,"1"
"3","2","2","4","14",0,"0","2",FALSE,FALSE,"0"
"5","3","2","4","23",0,"1","2",FALSE,FALSE,"1"
"4","4","25","4","24",0,"1","4",FALSE,TRUE,"0"
"8","3","27","4","1",0,"1","1",TRUE,FALSE,"1"
"3","1","2","4","1",0,"1","4",FALSE,FALSE,"1"
"7","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"7","3","2","4","1",0,"1","1",FALSE,TRUE,"1"
"7","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"12","4","21","4","1",0,"1","1",TRUE,TRUE,"0"
"12","3","2","4","1",0,"1","1",TRUE,TRUE,"1"
"7","3","27","4","1",0,"1","1",TRUE,TRUE,"1"
"7","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"4","2","27","4","1",0,"1","1",FALSE,FALSE,"1"
"4","2","27","4","14",2,"1","4",FALSE,FALSE,"1"
"6","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"7","2","27","4","1",0,"1","1",FALSE,TRUE,"0"
"7","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"7","3","27","4","1",0,"1","1",FALSE,FALSE,"1"
"7","3","27","4","1",0,"1","4",FALSE,FALSE,"1"
"11","4","27","4","1",0,"1","4",FALSE,FALSE,"0"
"11","4","27","4","1",0,"1","4",FALSE,FALSE,"0"
"11","3","27","4","14",2,"1","4",FALSE,FALSE,"1"
"1","3","2","4","1",0,"1","4",TRUE,FALSE,"1"
"1","1","21","4","12",0,"1","2",FALSE,TRUE,"0"
"2","1","2","4","1",65,"1","4",FALSE,FALSE,"0"
"2","3","2","4","26",0,"0","2",FALSE,TRUE,"0"
"2","3","19","4","1",0,"1","4",FALSE,FALSE,"0"
"2","3","2","4","1",0,"1","4",FALSE,FALSE,"0"
"2","2","2","4","1",0,"1","1",FALSE,TRUE,"0"
"4","4","2","4","1",0,"1","1",FALSE,TRUE,"0"
"6","3","2","4","1",0,"1","4",FALSE,FALSE,"1"
"6","3","2","4","1",2,"1","1",FALSE,TRUE,"0"
"6","3","2","4","1",0,"1","4",FALSE,FALSE,"1"
"7","3","2","4","1",50,"1","4",FALSE,FALSE,"0"
"7","3","2","4","1",80,"1","2",FALSE,TRUE,"1"
"7","3","2","4","26",21,"1","4",FALSE,FALSE,"0"
"7","3","2","4","1",0,"1","1",FALSE,TRUE,"0"
"7","3","0","4","1",0,"1","4",FALSE,FALSE,"1"
"7","3","2","4","1",0,"1","1",FALSE,TRUE,"1"
"7","3","2","4","14",36,"1","4",FALSE,FALSE,"1"
"8","2","2","4","9",1,"1","2",FALSE,FALSE,"0"
"8","3","16","4","9",1,"0","2",FALSE,FALSE,"1"
"11","2","21","4","1",0,"1","2",FALSE,TRUE,"0"
"11","3","27","4","1",0,"0","4",FALSE,FALSE,"1"
"11","3","28","4","26",40,"0","2",FALSE,FALSE,"1"
"11","5","27","4","1",1,"5","2",TRUE,FALSE,"0"
"11","3","2","4","1",34,"1","2",FALSE,FALSE,"1"
"12","2","9","4","1",0,"1","4",FALSE,FALSE,"0"
"12","3","2","4","14",34,"1","4",FALSE,FALSE,"0"
"12","3","10","4","1",0,"1","1",FALSE,FALSE,"0"
"12","3","2","4","1",0,"1","4",FALSE,FALSE,"0"
"9","3","2","4","1",0,"1","4",TRUE,FALSE,"0"
"9","2","16","4","14",5,"1","4",FALSE,FALSE,"1"
"10","3","27","4","1",0,"1","5",FALSE,TRUE,"1"
"1","3","2","4","3",1,"1","2",FALSE,FALSE,"1"
"5","3","27","4","1",0,"1",NA,FALSE,FALSE,"1"
"7","3","27","4","1",0,NA,NA,FALSE,FALSE,"1"
"7","3","2","4","1",1,"1","4",FALSE,FALSE,"1"
"9","4","2","4","1",0,"1",NA,TRUE,FALSE,"1"
"10","3","2","4","1",0,"1","4",FALSE,FALSE,"1"
"1","4","27","4","14",1,"1","4",FALSE,FALSE,"0"
"2","3",NA,"4","1",665,NA,NA,FALSE,FALSE,"1"
"10","2","27","4","26",3,"1","2",FALSE,TRUE,"0"
"10","2","16","4","26",1,"1","2",TRUE,FALSE,"0"
"2","3","27","4","1",0,"1","5",FALSE,TRUE,"1"
"4","1","9","4","14",0,"1","2",FALSE,FALSE,"0"
"5","2","2","4","1",0,"1","4",FALSE,FALSE,"1"
"6","2","21","4","1",0,"1","4",FALSE,FALSE,"0"
"6","4","2","4","1",0,"1","4",FALSE,FALSE,"0"
"7","3","2","4","26",25,"1","2",FALSE,FALSE,"1"
"7","3","27","4","1",0,"1","4",FALSE,TRUE,"1"
"7","2","27","4","1",0,"1","4",FALSE,FALSE,"0"
